ZIP,City,County (Verified),Population,Nearest Crematory,Distance,Tier,,,,
92262,Palm Springs,Riverside,"26,179",Anubis (Palm Springs),0.6,Tier 0,,,,
92532,Lake Elsinore,Riverside,"18,644",SCC (Lake Elsinore),2.1,Tier 0,,,,
92530,Lake Elsinore,Riverside,"50,216",SCC (Lake Elsinore),3.3,Tier 0,,,,
93040,Piru,Ventura,"18,399",Anubis LA,52.7,Tier 1,,,,
92587,Menifee,Riverside,"16,675",SCC (Lake Elsinore),5,Tier 0,,,,
92234,Cathedral City,Riverside,"51,151",Anubis (Palm Springs),5.7,Tier 0,,,,
92240,Desert Hot Springs,Riverside,"34,722",Anubis (Palm Springs),6.7,Tier 0,,,,
92595,Wildomar,Riverside,"29,851",SCC (Lake Elsinore),6.7,Tier 0,,,,
92570,Perris,Riverside,"53,697",SCC (Lake Elsinore),6.8,Tier 0,,,,
92586,Menifee,Riverside,"19,815",SCC (Lake Elsinore),8.2,Tier 0,,,,
92883,Corona,Riverside,"29,301",SCC (Lake Elsinore),9,Tier 0,,,,
92264,Palm Springs,Riverside,"19,383",Anubis (Palm Springs),9.2,Tier 0,,,,
92562,Murrieta,Riverside,"62,079",SCC (Lake Elsinore),9.5,Tier 0,,,,
92282,Whitewater,Riverside,"1,239",Anubis (Palm Springs),9.6,Tier 0,,,,
92584,Menifee,Riverside,"43,400",SCC (Lake Elsinore),9.6,Tier 0,,,,
92270,Rancho Mirage,Riverside,"17,220",Anubis (Palm Springs),9.6,Tier 0,,,,
92585,Menifee,Riverside,"17,797",SCC (Lake Elsinore),10.4,Tier 0,,,,
92276,Thousand Palms,Riverside,"7,585",Anubis (Palm Springs),11,Tier 0,,,,
92571,Perris,Riverside,"52,516",SCC (Lake Elsinore),12.2,Tier 0,,,,
92880,Corona,Riverside,"58,763",SCC (Lake Elsinore),22.3,Tier 0,,,,
92563,Murrieta,Riverside,"53,892",SCC (Lake Elsinore),13.4,Tier 0,,,,
92260,Palm Desert,Riverside,"31,753",Anubis (Palm Springs),13.5,Tier 0,,,,
92881,Corona,Riverside,"30,991",SCC (Lake Elsinore),14,Tier 0,,,,
92508,Riverside,Riverside,"35,000",SCC (Lake Elsinore),14,Tier 0,,,,
92548,Homeland,Riverside,"6,643",SCC (Lake Elsinore),14.1,Tier 0,,,,
92211,Palm Desert,Riverside,"24,294",Anubis (Palm Springs),14.3,Tier 0,,,,
92241,Desert Hot Springs,Riverside,"8,803",Anubis (Palm Springs),14.4,Tier 0,,,,
92503,Riverside,Riverside,"84,519",SCC (Lake Elsinore),14.7,Tier 0,,,,
92551,Moreno Valley,Riverside,"30,815",SCC (Lake Elsinore),14.8,Tier 0,,,,
92504,Riverside,Riverside,"53,778",SCC (Lake Elsinore),15.2,Tier 0,,,,
92254,Mecca,Riverside,"12,768",Anubis (Palm Springs),38.7,Tier 1,,,,
92596,Winchester,Riverside,"23,172",SCC (Lake Elsinore),15.4,Tier 0,,,,
92590,Temecula,Riverside,"3,660",SCC (Lake Elsinore),15.6,Tier 0,,,,
92314,Big Bear City,San Bernardino,"10,162",Anubis (Palm Springs),31.5,Tier 0,,,,
92567,Nuevo,Riverside,"9,459",SCC (Lake Elsinore),16,Tier 0,,,,
92210,Indian Wells,Riverside,"4,677",Anubis (Palm Springs),16.4,Tier 0,,,,
92506,Riverside,Riverside,"44,001",SCC (Lake Elsinore),17.1,Tier 0,,,,
92553,Moreno Valley,Riverside,"73,722",SCC (Lake Elsinore),17.1,Tier 0,,,,
92591,Temecula,Riverside,"38,272",SCC (Lake Elsinore),17.1,Tier 0,,,,
92220,Banning,Riverside,"31,638",Anubis (Palm Springs),17.3,Tier 0,,,,
92879,Corona,Riverside,"46,745",SCC (Lake Elsinore),17.4,Tier 0,,,,
92545,Hemet,Riverside,"39,457",SCC (Lake Elsinore),17.8,Tier 0,,,,
92882,Corona,Riverside,"67,917",SCC (Lake Elsinore),18.6,Tier 0,,,,
92203,Indio,Riverside,"25,605",Anubis (Palm Springs),19,Tier 0,,,,
92505,Riverside,Riverside,"47,672",SCC (Lake Elsinore),19.1,Tier 0,,,,
92555,Moreno Valley,Riverside,"39,076",SCC (Lake Elsinore),19.4,Tier 0,,,,
92507,Riverside,Riverside,"58,002",SCC (Lake Elsinore),19.5,Tier 0,,,,
92557,Moreno Valley,Riverside,"50,320",SCC (Lake Elsinore),20,Tier 0,,,,
92582,San Jacinto,Riverside,"15,649",SCC (Lake Elsinore),20.1,Tier 0,,,,
92860,Norco,Riverside,"27,198",SCC (Lake Elsinore),20.4,Tier 0,,,,
92543,Hemet,Riverside,"33,555",SCC (Lake Elsinore),20.8,Tier 0,,,,
92253,La Quinta,Riverside,"37,262",Anubis (Palm Springs),21.2,Tier 0,,,,
92501,Riverside,Riverside,"20,970",SCC (Lake Elsinore),21.3,Tier 0,,,,
92592,Temecula,Riverside,"72,492",SCC (Lake Elsinore),21.6,Tier 0,,,,
92382,Running Springs,San Bernardino,"5,268",SCC (Lake Elsinore),37.9,Tier 1,,,,
92583,San Jacinto,Riverside,"30,236",Anubis (Palm Springs),22.3,Tier 0,,,,
92359,Mentone,San Bernardino,"8,103",SCC (Lake Elsinore),31.5,Tier 0,,,,
92509,Jurupa Valley,Riverside,"75,196",SCC (Lake Elsinore),22.6,Tier 0,,,,
92284,Yucca Valley,San Bernardino,"25,095",Anubis (Palm Springs),23.6,Tier 0,,,,
